date,close,Mkt-RF,SMB,HML,RMW,CMA
2018-01-09,10.97,0.15,-0.37,-0.02,-0.15,-0.06
2018-01-10,10.65,-0.07,0.14,0.58,-0.34,0.0
2018-01-11,8.89,0.87,1.14,0.29,-0.11,0.47
2018-01-12,7.18,0.66,-0.32,0.17,-0.11,0.15
2018-01-16,8.25,-0.49,-1.01,-0.02,0.39,-0.33
2018-01-17,8.37,0.95,-0.07,-0.15,-0.08,-0.03
2018-01-18,8.1,-0.18,-0.45,-0.25,0.27,-0.29
2018-01-19,7.96,0.57,0.94,-0.07,0.1,0.14
2018-01-22,8.92,0.77,-0.34,-0.14,-0.52,0.19
2018-01-23,9.31,0.22,0.07,-0.33,-0.28,-0.25
2018-01-24,8.8,-0.13,-0.7,0.39,0.01,0.14
2018-01-25,8.2,0.07,0.12,-0.49,0.13,-0.17
2018-01-26,8.18,1.11,-0.64,-0.5,0.38,-0.18
2018-01-29,7.54,-0.62,-0.02,-0.26,0.18,-0.29
2018-01-30,6.82,-1.06,0.1,-0.17,0.34,-0.33
2018-01-31,7.35,-0.07,-0.66,0.06,0.22,-0.08
2018-02-01,6.5,0.03,0.15,0.5,-0.58,0.03
2018-02-02,5.51,-2.13,-0.01,-0.27,0.56,-0.44
2018-02-05,5.92,-4.03,0.64,-0.56,0.21,-0.16
2018-02-06,7.52,1.67,-0.47,-0.23,0.1,-0.19
2018-02-07,7.23,-0.37,0.57,0.26,0.33,0.32
2018-02-08,7.54,-3.67,0.82,0.48,0.37,0.09
2018-02-09,7.34,1.36,-0.57,0.11,0.17,-0.47
2018-02-12,7.37,1.36,-0.44,-0.29,-0.23,-0.19
2018-02-13,7.44,0.31,0.1,-0.23,0.19,-0.03
2018-02-14,7.99,1.52,0.3,0.46,-0.67,-0.07
2018-02-15,7.68,1.21,-0.17,-0.65,0.15,-0.29
2018-02-16,7.22,0.03,0.35,0.13,0.0,0.09
2018-02-20,7.41,-0.62,-0.28,-0.25,-0.22,-0.52
2018-02-21,7.18,-0.43,0.8,0.2,0.09,-0.28
2018-02-22,7.2,0.01,-0.05,-0.39,0.09,0.45
2018-02-23,7.01,1.54,-0.36,-0.14,-0.13,-0.1
2018-02-26,7.76,1.12,-0.46,-0.07,-0.15,-0.23
2018-02-27,7.62,-1.25,-0.2,0.01,-0.03,-0.05
2018-02-28,9.17,-1.1,-0.43,-0.31,0.24,-0.27
2018-03-01,9.69,-1.18,0.96,-0.04,-0.27,0.05
2018-03-02,9.4,0.7,1.1,-0.5,-0.4,-0.39
2018-03-05,9.77,1.06,-0.41,0.25,-0.6,0.09
2018-03-06,9.91,0.36,0.68,0.1,0.27,-0.02
2018-03-07,9.81,0.05,0.78,-0.45,-0.08,-0.43
2018-03-08,9.54,0.37,-0.58,-0.33,-0.03,-0.18
2018-03-09,9.32,1.7,-0.2,0.28,-0.25,-0.04
2018-03-12,8.75,-0.09,0.43,-0.06,-0.35,-0.23
2018-03-13,8.63,-0.67,0.1,0.0,0.45,0.05
2018-03-14,8.4,-0.53,0.15,-0.54,-0.11,-0.42
2018-03-15,8.13,-0.18,-0.41,0.31,0.07,-0.14
2018-03-16,7.82,0.25,0.47,0.2,0.05,0.32
2018-03-19,8.75,-1.38,0.4,0.41,0.37,0.12
2018-03-20,8.19,0.15,-0.12,-0.38,-0.03,-0.11
2018-03-21,8.0,-0.06,0.7,0.45,-1.09,0.8
2018-03-22,7.39,-2.54,0.39,-0.46,0.21,0.04
2018-03-23,7.47,-2.09,0.1,-0.2,0.08,0.73
2018-03-26,7.46,2.67,-0.64,0.02,0.05,-0.6
2018-03-27,7.03,-1.87,-0.24,0.4,0.71,0.55
2018-03-28,6.51,-0.35,0.18,0.65,0.71,0.07
2018-03-29,6.73,1.41,-0.28,-0.21,-0.34,-0.18
2018-04-02,6.25,-2.29,-0.07,0.39,0.11,-0.09
2018-04-03,5.6,1.24,-0.04,0.17,0.26,0.12
2018-04-04,5.6,1.17,0.33,-0.32,0.07,-0.14
2018-04-05,5.9,0.75,0.06,0.48,0.12,0.25
2018-04-06,5.63,-2.19,0.38,-0.06,0.11,0.04
2018-04-09,5.57,0.3,-0.25,-0.5,-0.76,-0.31
2018-04-10,6.37,1.77,0.34,-0.12,-0.83,0.37
2018-04-11,6.36,-0.49,0.8,-0.31,-0.61,0.27
2018-04-12,6.68,0.84,-0.16,0.19,-0.2,0.0
2018-04-13,7.12,-0.37,-0.11,-0.25,-0.13,0.14
2018-04-16,7.73,0.82,0.14,-0.04,0.82,0.03
2018-04-17,7.44,1.09,0.01,-1.18,-0.21,-0.46
2018-04-18,7.33,0.13,0.24,0.01,-0.23,0.42
2018-04-19,7.41,-0.49,-0.29,1.08,-0.48,0.1
2018-04-20,7.37,-0.81,0.11,0.62,-0.58,0.28
2018-04-23,7.02,-0.05,-0.07,0.2,0.31,0.07
2018-04-24,7.0,-1.3,0.63,0.98,0.09,0.23
2018-04-25,6.88,0.1,-0.28,0.01,0.4,0.16
2018-04-26,6.92,0.96,-0.54,-0.85,-0.48,-0.48
2018-04-27,6.8,0.01,-0.27,0.07,0.63,0.09
2018-04-30,6.91,-0.8,-0.05,-0.07,-0.48,-0.02
2018-05-01,6.22,0.24,0.25,-0.53,0.01,-0.97
2018-05-02,5.81,-0.63,1.24,-0.28,0.01,-0.03
2018-05-03,5.87,-0.25,-0.58,-0.17,0.0,-0.1
2018-05-04,5.88,1.3,-0.03,-0.23,-0.38,0.06
2018-05-07,5.67,0.42,0.39,-0.36,-0.52,-0.32
2018-05-08,5.54,0.07,0.49,0.26,-0.25,0.14
2018-05-09,5.52,0.89,-0.23,0.24,-0.88,-0.01
2018-05-10,5.6,0.84,-0.37,-0.04,0.25,-0.33
2018-05-11,6.12,0.19,0.11,-0.37,0.2,0.13
2018-05-14,6.56,0.05,-0.28,0.12,-0.18,0.5
2018-05-15,6.27,-0.55,0.71,0.41,-0.08,0.43
2018-05-16,6.04,0.49,0.68,-0.24,0.36,0.1
2018-05-17,5.8,0.02,0.87,0.25,-0.32,0.3
2018-05-18,6.23,-0.23,0.46,-0.58,0.05,-0.2
2018-05-21,6.57,0.72,-0.19,0.44,0.2,0.07
2018-05-22,6.24,-0.42,-0.66,0.59,-0.29,-0.39
2018-05-23,6.21,0.29,-0.07,-0.72,-0.04,-0.37
2018-05-24,6.13,-0.16,0.32,-0.31,0.48,0.09
2018-05-25,6.01,-0.21,0.22,-0.4,0.61,-0.52
2018-05-29,6.02,-1.03,1.1,-1.03,0.17,-0.03
2018-05-30,6.38,1.31,0.05,0.35,-0.7,0.2
2018-05-31,6.24,-0.7,0.04,-0.4,-0.51,-0.16
2018-06-01,6.84,1.06,-0.21,-0.13,-0.02,-0.17
2018-06-04,7.0,0.48,0.14,-0.46,1.03,-0.29
2018-06-05,6.99,0.16,0.79,-0.41,0.22,0.12
2018-06-06,7.93,0.86,-0.28,0.17,-0.02,0.15
2018-06-07,7.66,-0.14,-0.24,0.92,0.13,0.59
2018-06-08,7.23,0.31,0.04,-0.4,0.24,-0.19
2018-06-11,6.96,0.12,0.15,-0.16,0.22,0.24
2018-06-12,6.77,0.23,0.19,-0.61,0.07,-0.17
2018-06-13,7.12,-0.33,0.06,-0.21,-0.47,-0.16
2018-06-14,6.93,0.27,0.2,-0.99,0.0,-0.59
2018-06-15,7.02,-0.08,0.1,-0.25,0.64,-0.15
2018-06-18,6.78,-0.09,0.76,0.09,-0.41,0.04
2018-06-19,6.86,-0.38,0.51,-0.18,-0.25,-0.37
2018-06-20,7.22,0.23,0.66,-0.52,-0.11,0.08
2018-06-21,7.67,-0.73,-0.57,0.32,0.44,0.13
2018-06-22,7.24,0.11,-0.05,0.44,-0.57,0.86
2018-06-25,6.9,-1.48,-0.48,0.56,0.56,0.14
2018-06-26,6.79,0.27,0.51,-0.2,-0.51,0.1
2018-06-27,6.18,-1.02,-0.99,0.39,-0.12,0.52
2018-06-28,6.42,0.58,-0.19,-0.51,-0.17,-0.56
2018-06-29,6.52,0.07,-0.23,-0.24,-0.21,0.01
2018-07-02,6.96,0.36,0.45,-0.35,-0.01,-0.53
2018-07-03,6.78,-0.44,0.75,0.08,-0.31,0.46
2018-07-05,6.97,0.87,0.39,-0.4,0.35,-0.17
2018-07-06,6.96,0.87,0.0,-0.37,-0.23,-0.12
2018-07-09,6.95,0.93,-0.28,0.77,0.0,-0.19
2018-07-10,6.98,0.21,-0.84,-0.08,0.1,0.27
2018-07-11,6.97,-0.69,-0.05,-0.52,-0.09,-0.32
2018-07-12,7.05,0.86,-0.41,-1.09,-0.02,-0.49
2018-07-13,7.06,0.08,-0.17,-0.28,0.35,0.19
2018-07-16,6.73,-0.16,-0.61,0.84,-0.2,-0.16
2018-07-17,6.92,0.48,0.15,-0.69,0.13,-0.23
2018-07-18,6.78,0.27,-0.14,0.6,-0.16,-0.14
2018-07-19,6.83,-0.34,0.93,-0.37,0.21,0.04
2018-07-20,6.54,-0.1,-0.16,0.08,0.09,-0.24
2018-07-23,6.46,0.15,-0.18,0.37,-0.21,-0.2
2018-07-24,6.27,0.22,-1.33,0.52,0.46,0.1
2018-07-25,6.29,0.83,-0.58,-1.21,0.05,-0.31
2018-07-26,6.14,-0.2,0.75,0.61,-0.02,0.61
2018-07-27,6.23,-0.82,-1.2,1.15,0.51,0.52
2018-07-30,5.92,-0.7,-0.02,1.67,0.25,1.01
2018-07-31,6.05,0.51,0.69,-0.96,0.31,0.27
2018-08-01,5.78,-0.13,0.01,-0.3,-0.17,-0.74
2018-08-02,6.02,0.67,0.22,-0.73,-0.03,-0.57
2018-08-03,5.86,0.31,-0.92,0.56,0.63,0.37
2018-08-06,5.88,0.46,0.23,-0.33,-0.29,-0.22
2018-08-07,5.72,0.29,-0.05,-0.14,-0.33,-0.12
2018-08-08,5.77,-0.04,-0.13,0.22,-0.07,-0.06
2018-08-09,6.1,-0.05,0.34,-0.32,0.06,-0.26
2018-08-10,5.96,-0.6,0.34,-0.23,-0.27,0.25
2018-08-13,5.83,-0.46,-0.22,-0.31,0.32,-0.01
2018-08-14,5.65,0.69,0.31,0.23,0.36,0.2
2018-08-15,6.38,-0.91,-0.53,-0.11,0.66,-0.11
2018-08-16,6.32,0.86,-0.04,0.27,-0.08,0.4
2018-08-17,6.54,0.3,0.12,0.04,0.19,0.15
2018-08-20,7.32,0.25,0.15,0.18,0.09,0.15
2018-08-21,8.29,0.33,0.9,0.14,-0.21,-0.22
2018-08-22,8.16,0.05,0.3,-0.46,-0.51,-0.29
2018-08-23,8.54,-0.19,-0.1,-0.32,0.0,-0.17
2018-08-24,9.94,0.62,-0.1,-0.51,-0.32,-0.19
2018-08-27,12.04,0.74,-0.62,-0.11,-0.2,-0.35
2018-08-28,11.08,-0.01,-0.13,-0.29,0.12,-0.05
2018-08-29,12.74,0.56,-0.14,-0.59,-0.15,-0.3
2018-08-30,9.12,-0.41,0.23,-0.43,-0.24,-0.12
2018-08-31,9.88,0.08,0.45,-0.43,0.18,-0.14
2018-09-04,11.15,-0.11,-0.32,-0.08,-0.01,-0.16
2018-09-05,12.45,-0.41,-0.04,0.7,0.45,0.57
2018-09-06,11.62,-0.44,-0.39,-0.12,0.43,0.33
2018-09-07,11.99,-0.18,0.07,-0.21,0.02,0.02
2018-09-10,12.1,0.23,0.07,-0.33,0.04,-0.25
2018-09-11,11.99,0.37,-0.33,-0.21,-0.11,-0.38
2018-09-12,11.27,0.03,-0.13,-0.06,0.03,0.54
2018-09-13,10.11,0.45,-0.49,-0.36,0.08,-0.03
2018-09-14,10.38,0.12,0.31,0.25,-0.12,-0.03
2018-09-17,10.18,-0.71,-0.36,0.92,0.29,0.73
2018-09-18,11.56,0.57,0.03,-0.53,-0.25,-0.23
2018-09-19,12.69,0.06,-0.5,1.17,-0.49,-0.03
2018-09-20,13.75,0.77,0.28,-0.18,0.02,-0.08
2018-09-21,12.51,-0.13,-0.43,0.39,0.22,0.66
2018-09-24,11.86,-0.31,-0.06,-0.88,-0.42,-0.28
2018-09-25,11.47,-0.05,0.21,-0.44,-0.33,-0.07
2018-09-26,11.13,-0.4,-0.48,-0.59,0.51,0.1
2018-09-27,10.94,0.27,-0.34,-0.57,0.1,-0.34
2018-09-28,11.12,-0.03,0.35,-0.19,0.13,0.18
2018-10-01,11.32,0.16,-1.62,0.38,-0.16,0.06
2018-10-02,10.72,-0.21,-0.95,0.67,0.11,0.36
2018-10-03,10.69,0.2,0.91,0.43,-0.36,-0.21
2018-10-04,10.22,-0.93,-0.81,1.55,0.12,0.76
2018-10-05,9.77,-0.64,-0.38,0.4,-0.37,0.41
2018-10-08,9.7,-0.17,-0.23,1.19,0.49,0.64
2018-10-09,9.34,-0.18,-0.39,0.17,-0.49,0.2
2018-10-10,9.6,-3.33,0.4,1.15,0.23,0.78
2018-10-11,9.05,-1.96,0.35,-0.88,0.42,-0.57
2018-10-12,9.86,1.38,-1.11,-1.69,0.07,-0.48
2018-10-15,11.74,-0.48,0.99,0.47,0.38,0.5
2018-10-16,11.52,2.24,0.56,-1.46,-0.19,-0.68
2018-10-17,10.65,-0.08,-0.6,0.19,-0.26,0.14
2018-10-18,10.72,-1.54,-0.54,0.53,-0.4,0.35
2018-10-19,9.71,-0.25,-1.25,0.8,0.39,0.55
2018-10-22,8.52,-0.38,0.33,-1.19,1.09,-0.18
2018-10-23,8.34,-0.62,-0.21,-0.33,0.14,-0.11
2018-10-24,7.63,-3.33,-0.81,0.64,0.3,1.26
2018-10-25,8.11,1.93,0.32,-0.73,-0.15,-1.08
2018-10-26,7.78,-1.65,0.57,0.37,-0.36,0.51
2018-10-29,6.8,-0.77,-0.08,1.64,-0.05,0.98
2018-10-30,7.05,1.66,0.44,0.1,0.36,0.36
2018-10-31,7.42,1.22,-0.72,-0.69,-0.32,-0.94
2018-11-01,7.7,1.29,1.19,-1.11,-0.2,-0.51
2018-11-02,8.06,-0.53,0.86,0.64,-0.41,0.23
2018-11-05,8.25,0.4,-0.88,1.56,-0.52,0.77
2018-11-06,9.05,0.58,-0.15,0.03,0.29,0.18
2018-11-07,9.81,2.11,-0.49,-1.02,-0.35,-0.77
2018-11-08,8.94,-0.28,-0.14,0.23,0.43,0.3
2018-11-09,8.55,-1.04,-0.85,0.39,0.56,0.72
2018-11-12,8.45,-2.06,0.08,0.98,0.5,0.89
2018-11-13,8.31,-0.13,-0.07,0.07,0.21,-0.31
2018-11-14,8.12,-0.77,0.02,-0.19,0.54,0.13
2018-11-15,8.59,1.18,0.32,-0.56,-0.79,-0.69
2018-11-16,8.56,0.15,-0.03,-0.01,-0.78,0.18
2018-11-19,8.24,-1.88,-0.34,2.33,0.13,1.24
2018-11-20,8.2,-1.85,0.0,-0.62,-0.33,-0.28
2018-11-21,8.53,0.51,0.95,-0.29,-0.36,0.0
2018-11-23,8.81,-0.55,0.74,-0.57,0.31,-0.05
2018-11-26,8.33,1.62,-0.71,-0.18,-0.45,-0.74
