date,close,Mkt-RF,SMB,HML,RMW,CMA
2016-02-05,12.13,-2.06,-0.72,1.75,1.07,1.44
2016-02-08,12.54,-1.51,0.11,0.89,1.63,0.97
2016-02-09,12.13,-0.1,-0.56,-0.28,-0.06,0.03
2016-02-10,12.48,0.01,-0.22,-0.55,-0.28,-0.79
2016-02-11,12.36,-1.17,0.28,-1.48,0.32,-0.4
2016-02-12,12.84,1.98,-0.28,1.14,-0.39,0.3
2016-02-16,13.14,1.78,0.54,-0.56,0.03,-0.27
2016-02-17,13.35,1.75,-0.15,-0.64,-0.38,-0.48
2016-02-18,13.12,-0.51,-0.01,0.21,0.34,0.53
2016-02-19,13.64,0.06,0.29,-0.62,-0.64,-0.41
2016-02-22,13.62,1.43,-0.18,0.24,0.25,-0.21
2016-02-23,13.35,-1.22,0.38,-0.52,0.77,0.5
2016-02-24,13.53,0.53,0.64,-0.33,0.01,0.11
2016-02-25,13.19,1.1,-0.45,0.22,-0.1,-0.25
2016-02-26,13.25,-0.01,0.87,0.26,-0.53,0.02
2016-02-29,12.54,-0.69,0.7,0.26,0.13,0.43
2016-03-01,12.98,2.34,-0.64,0.3,-0.5,-0.54
2016-03-02,13.37,0.54,0.59,0.7,-0.7,-0.08
2016-03-03,13.99,0.51,0.56,0.65,0.31,0.4
2016-03-04,14.38,0.37,0.33,0.29,0.1,0.03
2016-03-07,14.85,0.21,1.32,0.55,-0.39,0.44
2016-03-08,14.65,-1.27,-1.26,-0.49,0.62,0.14
2016-03-09,15.21,0.5,0.11,0.38,0.18,0.11
2016-03-10,15.37,-0.11,-0.74,0.63,0.31,0.18
2016-03-11,15.65,1.69,0.29,0.19,-0.4,-0.32
2016-03-14,15.5,-0.12,-0.14,-0.87,0.01,-0.23
2016-03-15,14.59,-0.36,-1.42,0.67,0.46,0.07
2016-03-16,14.53,0.63,0.11,-0.04,0.56,-0.04
2016-03-17,13.89,0.72,0.97,0.59,0.15,0.67
2016-03-18,14.09,0.54,0.41,-0.19,-0.26,0.19
2016-03-21,14.72,0.1,-0.27,-0.31,-0.08,-0.35
2016-03-22,15.0,-0.05,-0.08,-0.44,-0.3,-0.26
2016-03-23,14.67,-0.86,-1.2,-0.09,0.61,0.01
2016-03-24,14.4,0.0,0.42,-0.05,0.05,-0.01
2016-03-28,14.12,0.04,-0.04,0.14,-0.04,0.25
2016-03-29,15.47,1.07,1.64,-1.18,0.19,-0.57
2016-03-30,15.03,0.41,-0.27,0.15,-0.06,0.01
2016-03-31,15.25,-0.11,0.41,-0.48,-0.12,-0.11
2016-04-01,16.21,0.64,-0.34,-0.62,-0.36,-0.14
2016-04-04,16.22,-0.41,-0.33,-0.74,-0.25,-0.23
2016-04-05,16.18,-0.94,-0.18,-0.36,0.06,0.18
2016-04-06,16.69,1.14,0.05,-0.82,-0.47,-0.63
2016-04-07,16.72,-1.23,-0.09,-0.35,-0.01,0.22
2016-04-08,16.72,0.29,0.12,0.69,0.36,0.28
2016-04-11,16.55,-0.28,0.01,0.95,-0.01,0.29
2016-04-12,16.58,0.99,0.01,0.85,0.04,-0.15
2016-04-13,16.54,1.23,0.95,0.35,-0.46,-0.35
2016-04-14,16.37,0.03,-0.26,0.18,-0.36,-0.11
2016-04-15,16.32,-0.04,0.31,-0.32,0.22,0.17
