Date,Mkt-RF,SMB,HML,RMW,CMA
2017-02-21,0.6,0.04,0.13,0.32,0.34
2017-02-22,-0.15,-0.37,0.11,0.55,-0.34
2017-02-23,-0.11,-0.72,0.26,-0.29,-0.45
2017-02-24,0.15,-0.08,-0.92,0.35,-0.21
2017-02-27,0.22,0.84,-0.34,-0.38,-0.11
2017-02-28,-0.42,-1.34,0.2,-0.03,-0.16
2017-03-01,1.47,0.54,0.72,-0.4,0.55
2017-03-02,-0.7,-0.56,-0.89,0.57,-0.47
2017-03-03,0.09,-0.17,0.15,-0.02,-0.08
2017-03-06,-0.38,-0.41,-0.1,-0.06,0.0
2017-03-07,-0.36,-0.35,-0.05,0.12,-0.24
2017-03-08,-0.19,-0.17,-0.82,0.53,-0.72
2017-03-09,0.04,-0.52,-0.28,-0.6,-0.16
2017-03-10,0.34,0.05,-0.39,0.27,0.02
2017-03-13,0.13,0.33,-0.02,-0.11,0.05
2017-03-14,-0.36,-0.22,0.02,0.51,-0.24
2017-03-15,0.86,0.71,-0.41,-0.16,0.55
2017-03-16,-0.06,0.44,0.24,-0.08,-0.37
2017-03-17,-0.08,0.56,-0.26,0.19,-0.03
2017-03-20,-0.25,-0.16,-0.75,-0.18,-0.04
2017-03-21,-1.48,-1.41,-0.69,0.77,0.29
2017-03-22,0.16,-0.33,-0.54,0.18,-0.12
2017-03-23,-0.03,0.74,0.46,-0.01,0.19
2017-03-24,-0.05,0.11,-0.24,-0.28,-0.32
2017-03-27,-0.05,0.47,-0.52,-0.23,-0.28
2017-03-28,0.72,-0.06,0.71,0.01,0.38
